lambda_size,lambda_corr,lambda_risk,lambda_marginal,best_subset,best_score,base_score,pair_penalty,risk_used,selected_assets
0.1,1.5,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.450423,2.895923,0.1455,3.5,fx|oil|index
0.1,1.5,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.450423,2.895923,0.1455,3.5,fx|oil|index
0.1,1.5,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.450423,2.895923,0.1455,3.5,fx|oil|index
0.1,1.5,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.301779,3.078779,0.327,3.5,fx|crypto|oil|index
0.1,1.5,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.300423,2.895923,0.1455,3.5,fx|oil|index
0.1,1.5,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.300423,2.895923,0.1455,3.5,fx|oil|index
0.1,1.5,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.300423,2.895923,0.1455,3.5,fx|oil|index
0.15,0.5,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.714779,3.078779,0.214,3.5,fx|crypto|oil|index
0.15,0.5,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.644923,2.895923,0.101,3.5,fx|oil|index
0.15,0.5,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.644923,2.895923,0.101,3.5,fx|oil|index
0.15,0.5,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.644923,2.895923,0.101,3.5,fx|oil|index
0.15,0.5,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.564779,3.078779,0.214,3.5,fx|crypto|oil|index
0.15,0.5,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.494923,2.895923,0.101,3.5,fx|oil|index
0.15,0.5,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.494923,2.895923,0.101,3.5,fx|oil|index
0.15,0.5,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.494923,2.895923,0.101,3.5,fx|oil|index
0.15,0.5,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.414779,3.078779,0.214,3.5,fx|crypto|oil|index
0.15,0.5,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.344923,2.895923,0.101,3.5,fx|oil|index
0.15,0.5,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.344923,2.895923,0.101,3.5,fx|oil|index
0.15,0.5,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.344923,2.895923,0.101,3.5,fx|oil|index
0.15,1.0,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.635779,3.078779,0.293,3.5,fx|crypto|oil|index
