asset,event_type,ym,surprise,actual,forecast,early_bps,net_bps,pnl_timing,pnl_directed,surprise_z
FX,NFP,2024-03,55.0,275.0,220.0,-2.3586869051239745,-1.5817076893176463,0.06369694811370152,0.10994464150970806,0.3978556074867343
FX,CPI,2024-03,0.2,0.4,0.2,10.287219158915395,14.612423303066446,-9.798823157403213,-9.798823157403213,0.348394647036325
FX,NFP,2024-04,127.0,303.0,176.0,31.764472659038255,33.15676159126535,3.483765993638089,3.483765993638089,1.1516872848300204
FX,CPI,2024-04,0.2,0.4,0.2,66.82959833202217,75.86908394662916,1.4053583984007254,1.4053583984007254,0.348394647036325
FX,NFP,2024-05,-22.0,175.0,197.0,-43.574099220593524,-39.10042969549554,9.701677986046931,9.701677986046931,-0.40832549189427997
FX,CPI,2024-05,0.1,0.3,0.2,-23.591220926475476,-28.309465111768795,0.7025741079867984,0.8406206572851858,0.0
FX,NFP,2024-06,54.0,272.0,218.0,51.61805393054442,58.784933951832045,0.1980959490531795,0.1980959490531795,0.38738572307918867
FX,CPI,2024-06,-0.2,0.0,0.2,-46.43991603663133,-55.9136589081044,-1.231190352888433,-1.231190352888433,-1.0451839411089752
FX,NFP,2024-07,-81.0,206.0,287.0,0.1847259359843978,-2.6785260717554493,3.476399682501464,0.3844535100493438,-1.0260486719394728
FX,CPI,2024-07,-0.2,-0.1,0.1,-34.752148964121155,-36.31000391768335,0.4692513246239436,0.4692513246239436,-1.0451839411089752
FX,NFP,2024-08,-127.0,114.0,241.0,-22.846645927758757,-53.53961469939161,-0.9079770126586553,-0.9079770126586553,-1.5076633546865723
FX,CPI,2024-08,0.1,0.2,0.1,7.1660853671262625,6.340624900783576,1.0853355576910815,1.0853355576910815,0.0
FX,NFP,2024-09,38.0,142.0,104.0,-21.785707855459524,-11.820096865380325,-0.640075764051339,-7.793569953522649,0.21986757255845846
FX,CPI,2024-09,-0.1,0.2,0.3,15.167636338938584,24.40404772145799,1.4057447368652785,3.811489473730557,-0.69678929407265
FX,NFP,2024-10,-13.0,254.0,267.0,50.084304802654465,63.926609496528506,0.4585897260599445,4.378549614840633,-0.3140965322263692
FX,CPI,2024-10,0.1,0.2,0.1,-12.303104590110081,-10.876127403449676,-2.2816932999482056,-0.26760382859991516,0.0
FX,NFP,2024-11,-217.0,12.0,229.0,-24.67215038964632,-21.993196746592503,-0.2656744092123233,-0.2656744092123233,-2.4499529513656797
FX,CPI,2024-11,0.0,0.2,0.2,-14.444815628631424,-9.372662127766773,,,-0.348394647036325
FX,NFP,2024-12,51.0,227.0,176.0,-27.253361799004505,-17.56117836545945,1.16909511010277,3.998349601548213,0.3559760698565518
FX,CPI,2024-12,0.1,0.3,0.2,1.093691303253319,-9.167986228999503,0.9013666072487112,0.9013666072487112,0.0
FX,NFP,2025-01,43.0,256.0,213.0,-4.080066446796593,0.6994399623061476,0.8941785578996395,0.35992306721011147,0.27221699459618665
FX,CPI,2025-01,0.1,0.4,0.3,-35.18187817850071,-39.82103342521137,0.3539782783178467,1.466174721226233,0.0
FX,NFP,2025-02,-65.0,143.0,208.0,6.312735824053339,11.62314412795351,13.5936885909137,-17.857396062111007,-0.8585305214187425
FX,CPI,2025-02,0.1,0.5,0.4,41.810334434448926,33.12998818508328,2.5347152617382083,2.5347152617382083,0.0
FX,NFP,2025-03,-42.0,151.0,193.0,-22.46994414745629,12.422932235619522,-3.023807333543237,-3.023807333543237,-0.6177231800451928
FX,CPI,2025-03,-0.4,0.2,0.6,-11.199184846217847,14.714994515153679,-44.56680319428929,-44.56680319428929,-1.7419732351816248
FX,NFP,2025-04,89.0,228.0,139.0,23.37102173775807,57.0830438274339,3.7831560707722875,3.7831560707722875,0.7538316773432862
FX,CPI,2025-04,-0.5,-0.1,0.4,-19.816874068268042,3.855282773281843,1.1573324584167608,1.1573324584167608,-2.09036788221795
FX,NFP,2025-05,51.0,177.0,126.0,18.0839802399424,14.714184897670624,-0.07238080093296873,-0.07238080093296873,0.3559760698565518
FX,CPI,2025-05,0.5,0.2,-0.3,0.4948935978754676,-15.440680253746564,1.0225264501505524,1.0225264501505524,1.3935785881453
FX,NFP,2025-06,8.0,139.0,131.0,-0.3067592203076508,10.78916000560759,-0.6490135085913664,-0.07866046005566751,-0.09422895966791077
FX,CPI,2025-06,-0.5,0.1,0.6,-38.086992264536605,-22.99212460699529,0.04634433448103081,0.04634433448103081,-2.09036788221795
FX,NFP,2025-07,17.0,147.0,130.0,0.679902094099516,-0.16997552352515655,0.44465689398742825,0.44465689398742825,0.0
FX,CPI,2025-07,0.6,0.3,-0.3,-20.65814625281881,-10.260498367065107,0.45516175834803363,0.1127707563862721,1.7419732351816248
FX,NFP,2025-08,-59.0,73.0,132.0,-100.16057279738754,-130.41494467696646,1.2281347890462655,1.2281347890462655,-0.7957112149734686
FX,CPI,2025-08,-0.4,0.2,0.6,-30.16214306335474,-33.385183493548354,1.9254106330078855,1.9254106330078855,-1.7419732351816248
FX,NFP,2025-09,-107.0,22.0,129.0,-28.76019213346792,-29.025144869319064,-0.616688529617825,-0.616688529617825,-1.2982656665356593
FX,CPI,2025-09,0.2,0.4,0.2,-27.430439657312178,-26.30069924084877,-0.3165255576710315,0.6659689531750566,0.348394647036325
FX,NFP,2025-11,35.0,119.0,84.0,3.630830941594443,-0.04322417787694377,0.3831736920355553,0.3831736920355553,0.18845791933582154
FX,NFP,2025-12,-56.0,64.0,120.0,-1.5881191518585247,-2.403639797408097,0.15885796693193655,0.15885796693193655,-0.7643015617508317
FX,NFP,2024-01,215.0,216.0,1.0,41.61484906004986,23.156872134242334,3.321121022252683,3.321121022252683,2.073037112694037
FX,CPI,2024-01,0.1,0.3,0.2,26.38204782477116,60.984838061692855,1.6065871200309232,1.6065871200309232,0.0
FX,NFP,2024-02,167.0,353.0,186.0,65.41874473735332,88.17724082211376,0.5951507417444333,0.5951507417444333,1.570482661131846
FX,CPI,2024-02,0.0,0.3,0.3,63.21717846463848,74.1797336708494,,,-0.348394647036325
FX,NFP,2024-03,55.0,275.0,220.0,-3.518940865194775,2.1047250080497015,-0.7344160306489425,0.6267018122784194,0.3978556074867343
FX,CPI,2024-03,0.2,0.4,0.2,10.47777287986218,13.224373537690237,-18.51064836724936,-18.51064836724936,0.348394647036325
