asset,event_type,early_bps,bucket,gross_bps,net_retail_conservative_bps,net_retail_optimistic_bps
CRYPTO,NFP,62.082054865566505,mid,-0.7968470356489732,-26.03449747479945,-11.035857728217461
CRYPTO,CPI,58.307586109573876,mid,2.3459531866887318,-30.47904470615535,-12.474556944402686
CRYPTO,FOMC,78.91288905522265,mid,-2.325193454613128,-31.698675316051954,-13.70554407484214
CRYPTO,NFP,33.136301845808624,small,11.051643721093907,-24.426260953840355,-9.427138663873118
CRYPTO,CPI,46.8696957827397,small,7.246419493244227,-36.94172234836478,-18.933358141878013
CRYPTO,NFP,12.274945073756927,small,-47.34735655368638,-77.28444787840736,-62.26771475234071
CRYPTO,FOMC,23.46743988989486,small,-0.5234094209249918,-33.67424382701765,-12.665989145737903
CRYPTO,CPI,21.849287728401556,small,23.690734812416014,-7.064734431354562,9.440936965029685
CRYPTO,NFP,21.13894101329894,small,3.423821400432292,-23.443470580815067,-8.444053409474066
CRYPTO,CPI,39.69972754530815,small,16.834160471379533,-19.535969098274357,-0.03231782997081112
CRYPTO,FOMC,20.536406275836192,small,-1.4747812407822636,-40.14161598227204,-19.12754328313814
CRYPTO,NFP,4.1081859593261605,small,-0.5674094311514111,-28.425130907075975,-13.42720845818856
CRYPTO,CPI,99.20172981667363,mid,34.82850801034276,-16.790833457396275,2.7148775693799436
CRYPTO,FOMC,35.99271395466231,small,0.913421040599216,-33.24039378841624,-12.232529396608342
CRYPTO,NFP,50.688996931513856,mid,29.02328743559668,5.822473239887067,20.814278026375597
CRYPTO,CPI,143.55877628427493,big,42.81196103218643,-29.35024681280483,-9.846534122238452
CRYPTO,NFP,65.86533343710066,mid,2.244235765471725,-24.0630808344444,-9.063849574083342
CRYPTO,CPI,128.2925299045523,big,3.605937435255946,-37.60767014619802,-19.616435700405603
CRYPTO,FOMC,85.49008545803093,mid,6.0328816922772255,-27.192851082340468,-6.195274164125568
CRYPTO,NFP,83.29019924916415,mid,-50.03180059287349,-79.36715416023918,-64.34979631593096
